Date,Day Mean Sentiment
2022-1-1,0.10463333333333334
2022-1-2,0.13705882352941176
2022-1-3,0.16115405405405406
2022-1-4,0.147865
2022-1-5,0.16585443037974681
2022-1-6,0.1294715789473684
2022-1-7,0.11560267857142857
2022-1-8,0.11509152542372882
2022-1-9,0.1084
2022-1-10,0.11052567567567566
2022-1-11,0.09008554913294796
2022-1-12,0.08900923076923077
2022-1-13,0.07479589041095895
2022-1-14,0.0786454545454546
2022-1-15,0.0771464435146444
2022-1-16,0.07570200803212856
2022-1-17,0.08136292134831465
2022-1-18,0.08500383275261326
2022-1-19,0.08775475409836068
2022-1-20,0.08637737003058106
2022-1-21,0.08596235294117649
2022-1-22,0.08707947976878615
2022-1-23,0.08825810055865924
2022-1-24,0.08499411764705884
2022-1-25,0.08852180451127821
2022-1-26,0.0913023640661939
2022-1-27,0.09536341463414637
2022-1-28,0.09753983050847458
2022-1-29,0.09796221294363257
2022-1-30,0.09582361396303901
2022-1-31,0.09479247524752475
2022-2-1,0.08897514124293786
2022-2-2,0.08992954128440367
2022-2-3,0.09179151943462897
2022-2-4,0.09221399317406144
2022-2-5,0.09399966273187185
2022-2-6,0.09445066666666668
2022-2-7,0.09413908794788275
2022-2-8,0.09714303599374023
2022-2-9,0.09755099236641222
2022-2-10,0.09252746268656716
2022-2-11,0.08990744525547445
2022-2-12,0.08774697406340058
2022-2-13,0.08741548295454545
2022-2-14,0.08974152777777776
2022-2-15,0.08784918918918919
2022-2-16,0.08828741721854304
2022-2-17,0.08727403100775193
2022-2-18,0.08490491803278685
2022-2-19,0.08348591022443885
2022-2-20,0.08193073110285003
2022-2-21,0.08105200974421434
2022-2-22,0.08214976359338055
2022-2-23,0.08292186046511621
2022-2-24,0.08307656427758808
2022-2-25,0.08241050279329601
2022-2-26,0.08233436807095336
2022-2-27,0.08329703622392967
2022-2-28,0.08204903846153838
2022-3-1,0.08091477627471377
2022-3-2,0.08242832487309638
2022-3-3,0.082204365079365
2022-3-4,0.08055815533980575
2022-3-5,0.07950646094503366
2022-3-6,0.07879865642994233
2022-3-7,0.07681348314606733
2022-3-8,0.0761989990900818
2022-3-9,0.07557551202137122
2022-3-10,0.07524706397896569
2022-3-11,0.07508233766233753
2022-3-12,0.07462480620155025
2022-3-13,0.07388349016253194
2022-3-14,0.07432914911541688
2022-3-15,0.07462961124896594
2022-3-16,0.07630571428571414
2022-3-17,0.07529871794871779
2022-3-18,0.07685525691699586
2022-3-19,0.07709135220125768
2022-3-20,0.07755222830336182
2022-3-21,0.07775162037037019
2022-3-22,0.07641989369779782
2022-3-23,0.07730291697830946
2022-3-24,0.07747429837518445
2022-3-25,0.07729759825327492
2022-3-26,0.07748942795076015
2022-3-27,0.07642168587896236
2022-3-28,0.07753563791874538
2022-3-29,0.0776576734407847
2022-3-30,0.07636894882434284
2022-3-31,0.07590408719346031
2022-4-1,0.07568652291105105
2022-4-2,0.07564789015405207
2022-4-3,0.07583653333333316
2022-4-4,0.07560925313945786
2022-4-5,0.0748623452768728
2022-4-6,0.07422037395228868
2022-4-7,0.07341363926067544
2022-4-8,0.07294383301707764
2022-4-9,0.0723818639798487
2022-4-10,0.07155776942355874
2022-4-11,0.07004904024767786
2022-4-12,0.07031512195121933
2022-4-13,0.07010817686250741
2022-4-14,0.07053571000599144
2022-4-15,0.07010273159144877
2022-4-16,0.07096524822695019
2022-4-17,0.07050482921083612
2022-4-18,0.06959405940594043
2022-4-19,0.06989031518624626
2022-4-20,0.06956538243626045
2022-4-21,0.06999619260918236
2022-4-22,0.06834283333333316
2022-4-23,0.06775962389380513
2022-4-24,0.06733612334801745
2022-4-25,0.06848142313959786
2022-4-26,0.06881066452304377
2022-4-27,0.06848804463336858
2022-4-28,0.06868801891749853
2022-4-29,0.06883321186881815
2022-4-30,0.06955005175983421
2022-5-1,0.06933926728586155
2022-5-2,0.06879534288638674
2022-5-3,0.06880251889168748
2022-5-4,0.06833740648379034
2022-5-5,0.06808485898070246
2022-5-6,0.06771134020618538
2022-5-7,0.06782517106549348
2022-5-8,0.06634347614410889
2022-5-9,0.06567588206863204
2022-5-10,0.06635736842105247
2022-5-11,0.06664226755218201
2022-5-12,0.06629039999999985
2022-5-13,0.06593401869158864
2022-5-14,0.06586963204471341
2022-5-15,0.065706731662024
2022-5-16,0.06596514522821563
2022-5-17,0.06569552511415512
2022-5-18,0.06514236520163105
2022-5-19,0.06535739991003137
2022-5-20,0.06600138269402307
2022-5-21,0.06596244444444432
2022-5-22,0.06605962815405034
2022-5-23,0.0665939260563379
2022-5-24,0.0668213350785339
2022-5-25,0.06721235421166294
2022-5-26,0.06754824335904015
2022-5-27,0.06660757124627807
2022-5-28,0.06650097706032275
2022-5-29,0.06738945808636738
2022-5-30,0.06698301011804375
2022-5-31,0.06685020850708917
2022-6-1,0.06652609776304881
2022-6-2,0.06765923488276422
2022-6-3,0.06802533714752752
2022-6-4,0.06748891605541966
2022-6-5,0.06684384896467715
2022-6-6,0.06648151563753002
2022-6-7,0.06687712470214452
2022-6-8,0.06758216258879239
2022-6-9,0.0669536833855799
2022-6-10,0.06726401869158877
2022-6-11,0.06719735819735818
2022-6-12,0.06734976744186044
2022-6-13,0.06790403846153845
2022-6-14,0.0688086824067022
2022-6-15,0.06955277882797731
2022-6-16,0.06970954169797144
2022-6-17,0.07063323397913562
2022-6-18,0.07026847583643123
2022-6-19,0.070100482017056
2022-6-20,0.06972332103321036
2022-6-21,0.07044641288433384
2022-6-22,0.070191515591008
2022-6-23,0.07021944444444449
